Distrito,Dirección,Tipo.de.Inmueble,Descripción,Habitaciones.Disponibles,Precio.Mensual,Notas,tiempo.manejo,metros.manejo,tiempo.caminata,metros.caminata,Piso
Portuense,Via Portuense 471 Int. 10,1,"Ingresso, 3 camere, cucina abitabile, bagno",3 singole,"€ 450; Condominio, acqua, internet e tassa rifiuti inclusi",disponibile per ragazzi/ragazze Autobus 128 - 710 - 775 - n. 2 Stazione Trastevere,1995,41795,9190,12350,2°
Portuense,Via Portuense 471 Int. 14,1,"Ingresso/living, 2 camer, cucna, bagno, terrazzo",2 singole,"€ 500; condominio,acqua, internet e tassa rifiuti inclusi",disponibile per ragazzi/ragazze Autobus 23 - 769 - 128 - 710 - 775 ﾖ n. 2 Stazione Trastevere,1995,41795,9190,12350,4°
Prati,Viale Giulio Cesare,1,"Ingresso, cucina, 2 camere, bagno",2 singole,€ 500; € 600; TUTTO INCLUSO,disponibile per ragazzi/ragazze Metro A Ottaviano APT DA CONDIVIDERE CON PROPRIETARIO,1294,12788,5811,7812,3°
Prati,Via Giordano Bruno,1,"Ingresso, 2 camere, cucina, bagno",Intero appartamento,"€ 900; condominio, acqua e riscaldamento inclusi",Disponibile dal 1ﾰ Marzo per ragazzi/ragazze Metro A Ottaviano,21278,630888,493181,653876,1°
Prati,Via Paolo Emilio,1,"Ingresso, cucina, 4 camere, 2 bagni",1 singola,€ 530; spese escluse,Disponibile dal 1ﾰ Marzo per ragazze Metro A Ottaviano/Lepanto,1324,13053,5818,7794,1°
Prati,Viale Angelico,1,"Ingresso, 4 camere, soggiorno, cucina, bagno",1 singola,€ 530; spese escluse,disponibile per ragazze Metro A Ottaviano/Lepanto,1020,11805,5669,7603,1°
Prati,Via San Tommaso d'Aquino,1,"Ingresso, cucina, 3 camere, 2 bagni",1 singola,€ 500; spese escluse,disponibile per ragazze Metro A Cipro,1217,12929,6406,8613,2°
Prati,Via Ottaviano,1,"Ingresso, cucina/living, 3 camere, 3 bagni",1 singola,€ 650 TUTTO INCLUSO,disponibile per ragazzi/ragazze Metro A Ottaviano,1246,12869,6146,8242,3°
Prati,Via Marcantonio Colonna,1,"Ingresso, cucina, 3 camere, bagno",2 singole,€ 600; € 550; spese escluse,disponibili dal 1ﾰ Marzo e dal 1ﾰ Aprile per ragazze Metro A Lepanto,1269,11292,5591,7477,3°
Prati,Via Cola di Rienzo,1,"Ingresso, cucina, salone, 3 camere, 2 bagni",1 singola,€ 600 TUTTO INCLUSO,disponibile per ragazze Metro A Ottaviano/Lepanto APT da condivedere con la proprietaria,1410,13258,5677,7561,5°
Prati,Via Golametto,1,"Ingresso, cucina, 4 camere, 2 bagni, terrazzo",1 singola,€ 550 TUTTO INCLUSO,disponibile per ragazze Autobus 23,1159,12401,6165,8253,1°
San Pietro,Via Niccolo' III,1,"Ingresso, corridoio,salottino, cucina 3 camere, bagno",1 singola,"€ 480; condominio, acqua e riscaldamento inclusi",disponibile per ragazzi Stazione San Pietro Metro A Ottaviano,8940,241779,169409,220147,2°
Testaccio,Via Amerigo Vespucci,1,"Mini Appartamento - sub ingresso in comune, ingresso autonomo, camera, cucina abitabile, bagno",intero appartamento,€ 950; spese escluse,disponibile dal 1ﾰ Marzo per ragazzi/ragazze Metro B Piramide,1810,16663,6922,9214,1°
